epoch,accuracy,loss,val_accuracy,val_loss
0,0.25090035796165466,1.864881992340088,0.4189189076423645,1.8121016025543213
1,0.3757503032684326,1.6619081497192383,0.5067567825317383,1.1910301446914673
2,0.5114045739173889,1.3213485479354858,0.6959459185600281,0.9912660121917725
3,0.5834333896636963,1.0998260974884033,0.6554054021835327,0.8343225121498108
4,0.6554622054100037,0.9129440784454346,0.6891891956329346,0.7173585295677185
5,0.6938775777816772,0.78480464220047,0.75,0.7010445594787598
6,0.7190876603126526,0.7325395345687866,0.7364864945411682,0.6328200101852417
7,0.7406962513923645,0.6476590633392334,0.7837837934494019,0.5795825719833374
8,0.7695078253746033,0.5983637571334839,0.7432432174682617,0.5857308506965637
9,0.7887154817581177,0.5548444390296936,0.75,0.5963484048843384
10,0.8055222034454346,0.5188949704170227,0.7635135054588318,0.6158841848373413
11,0.79111647605896,0.5203377604484558,0.7770270109176636,0.6850717067718506
12,0.8055222034454346,0.49035361409187317,0.7635135054588318,0.6118766665458679
13,0.8067227005958557,0.46321943402290344,0.7770270109176636,0.578291118144989
14,0.8247299194335938,0.4125749468803406,0.7905405163764954,0.6238802075386047
15,0.7935174107551575,0.45409658551216125,0.7567567825317383,0.6187355518341064
16,0.8295317888259888,0.4119502902030945,0.75,0.5906174778938293
17,0.8247299194335938,0.4193594753742218,0.7702702879905701,0.5790529251098633
18,0.8379351496696472,0.3774133324623108,0.7567567825317383,0.6438924670219421
19,0.8271308541297913,0.402080237865448,0.7702702879905701,0.6453039646148682
20,0.8439375758171082,0.36481866240501404,0.7770270109176636,0.6718473434448242
21,0.8547418713569641,0.33132094144821167,0.7567567825317383,0.6907697916030884
22,0.8523409366607666,0.3632337749004364,0.7364864945411682,0.687546968460083
23,0.8451380729675293,0.36501985788345337,0.7972972989082336,0.5867777466773987
24,0.8451380729675293,0.34481334686279297,0.7635135054588318,0.7482255697250366
25,0.8295317888259888,0.3616434931755066,0.7770270109176636,0.77152019739151
26,0.8571428656578064,0.36129745841026306,0.7905405163764954,0.6421971917152405
27,0.8283313512802124,0.3548910915851593,0.7837837934494019,0.714871346950531
28,0.8439375758171082,0.3307410180568695,0.75,0.6659932136535645
29,0.866746723651886,0.30723464488983154,0.7837837934494019,0.7661293745040894
30,0.8391356468200684,0.32007649540901184,0.75,0.871514618396759
31,0.8439375758171082,0.3180234730243683,0.7837837934494019,0.9469995498657227
32,0.8511404395103455,0.3427700400352478,0.7837837934494019,0.6928931474685669
33,0.8523409366607666,0.3087501525878906,0.7905405163764954,0.8319534659385681
34,0.871548593044281,0.2782086133956909,0.75,0.9103524684906006
35,0.8727490901947021,0.2965877056121826,0.7567567825317383,0.9115684032440186
36,0.8631452322006226,0.3202674090862274,0.75,0.9145955443382263
37,0.8547418713569641,0.30093833804130554,0.75,0.9955465197563171
38,0.860744297504425,0.29684141278266907,0.7702702879905701,0.854505717754364
39,0.866746723651886,0.28448233008384705,0.75,1.0569853782653809
40,0.8643457293510437,0.27642881870269775,0.7770270109176636,0.8953008651733398
41,0.8643457293510437,0.2830071747303009,0.7567567825317383,0.8500573635101318
42,0.860744297504425,0.3036731779575348,0.7567567825317383,0.8094125986099243
43,0.8547418713569641,0.2709652781486511,0.75,0.9760550260543823
44,0.8679471611976624,0.28335845470428467,0.7364864945411682,0.9600642323493958
45,0.8727490901947021,0.2798839211463928,0.7567567825317383,0.9290006756782532
46,0.8631452322006226,0.2707362473011017,0.7635135054588318,1.0668047666549683
47,0.8679471611976624,0.28280919790267944,0.75,0.9886064529418945
48,0.8799519538879395,0.26119574904441833,0.7567567825317383,0.8482221364974976
49,0.871548593044281,0.2504601776599884,0.7567567825317383,0.8485643863677979
